ID,col,row,x 2d,y 2d,dmx universe,dmx channel
197,7,19,7,19,1,98
198,8,19,8,19,1,99
199,9,19,9,19,1,100
200,0,20,0,20,1,265
201,1,20,1,20,1,264
202,2,20,2,20,1,263
203,3,20,3,20,1,262
204,4,20,4,20,1,261
205,5,20,5,20,1,101
206,6,20,6,20,1,102
207,7,20,7,20,1,103
208,8,20,8,20,1,104
209,9,20,9,20,1,105
210,0,21,0,21,1,270
211,1,21,1,21,1,269
212,2,21,2,21,1,268
213,3,21,3,21,1,267
214,4,21,4,21,1,266
215,5,21,5,21,1,106
216,6,21,6,21,1,107
217,7,21,7,21,1,108
218,8,21,8,21,1,109
219,9,21,9,21,1,110
220,0,22,0,22,1,275
221,1,22,1,22,1,274
222,2,22,2,22,1,273
223,3,22,3,22,1,272
224,4,22,4,22,1,271
225,5,22,5,22,1,111
226,6,22,6,22,1,112
227,7,22,7,22,1,113
228,8,22,8,22,1,114
229,9,22,9,22,1,115
230,0,23,0,23,1,280
231,1,23,1,23,1,279
232,2,23,2,23,1,278
233,3,23,3,23,1,277
234,4,23,4,23,1,276
235,5,23,5,23,1,116
236,6,23,6,23,1,117
237,7,23,7,23,1,118
238,8,23,8,23,1,119
239,9,23,9,23,1,120
240,0,24,0,24,1,285
241,1,24,1,24,1,284
242,2,24,2,24,1,283
243,3,24,3,24,1,282
244,4,24,4,24,1,281
245,5,24,5,24,1,121
246,6,24,6,24,1,122
247,7,24,7,24,1,123
248,8,24,8,24,1,124
249,9,24,9,24,1,125
250,0,25,0,25,1,290
251,1,25,1,25,1,289
252,2,25,2,25,1,288
253,3,25,3,25,1,287
254,4,25,4,25,1,286
255,5,25,5,25,1,126
256,6,25,6,25,1,127
257,7,25,7,25,1,128
258,8,25,8,25,1,129
259,9,25,9,25,1,130
260,0,26,0,26,1,295
261,1,26,1,26,1,294
262,2,26,2,26,1,293
263,3,26,3,26,1,292
264,4,26,4,26,1,291
265,5,26,5,26,1,131
266,6,26,6,26,1,132
267,7,26,7,26,1,133
268,8,26,8,26,1,134
269,9,26,9,26,1,135
270,0,27,0,27,1,300
271,1,27,1,27,1,299
272,2,27,2,27,1,298
273,3,27,3,27,1,297
274,4,27,4,27,1,296
275,5,27,5,27,1,136
276,6,27,6,27,1,137
277,7,27,7,27,1,138
278,8,27,8,27,1,139
279,9,27,9,27,1,140
