ID,col,row,x 2d,y 2d,dmx universe,dmx channel
226,6,22,6,22,1,274
227,7,22,7,22,1,273
228,8,22,8,22,1,272
229,9,22,9,22,1,271
230,0,23,0,23,1,116
231,1,23,1,23,1,117
232,2,23,2,23,1,118
233,3,23,3,23,1,119
234,4,23,4,23,1,120
235,5,23,5,23,1,280
236,6,23,6,23,1,279
237,7,23,7,23,1,278
238,8,23,8,23,1,277
239,9,23,9,23,1,276
240,0,24,0,24,1,121
241,1,24,1,24,1,122
242,2,24,2,24,1,123
243,3,24,3,24,1,124
244,4,24,4,24,1,125
245,5,24,5,24,1,285
246,6,24,6,24,1,284
247,7,24,7,24,1,283
248,8,24,8,24,1,282
249,9,24,9,24,1,281
250,0,25,0,25,1,126
251,1,25,1,25,1,127
252,2,25,2,25,1,128
253,3,25,3,25,1,129
254,4,25,4,25,1,130
255,5,25,5,25,1,290
256,6,25,6,25,1,289
257,7,25,7,25,1,288
258,8,25,8,25,1,287
259,9,25,9,25,1,286
260,0,26,0,26,1,131
261,1,26,1,26,1,132
262,2,26,2,26,1,133
263,3,26,3,26,1,134
264,4,26,4,26,1,135
265,5,26,5,26,1,295
266,6,26,6,26,1,294
267,7,26,7,26,1,293
268,8,26,8,26,1,292
269,9,26,9,26,1,291
270,0,27,0,27,1,136
271,1,27,1,27,1,137
272,2,27,2,27,1,138
273,3,27,3,27,1,139
274,4,27,4,27,1,140
275,5,27,5,27,1,300
276,6,27,6,27,1,299
277,7,27,7,27,1,298
278,8,27,8,27,1,297
279,9,27,9,27,1,296
